Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise_Description,Funding Type,Status
Emerging Technologies,,Lawrence Berkeley National Laboratory,US-China Joint Initiative: Clean Energy Research Center (CERC),Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/us-china-clean-energy-research-center-cerc,"As the world’s largest energy producers, energy consumers and greenhouse gas emitters, the United States and China created a joint US-China Clean Energy Research Center (CERC). Research and technology development have helped drive the two countries toward greater energy efficiency, helping them meet their climate goals.",Lab Award,Active
Emerging Technologies,Energy Data & Design/Decision Tools,University of California - Davis,User-Oriented Modeling Tools for Advanced Hybrid and Climate-Appropriate Rooftop Air Conditioners,Davis,CA,38.544907,-121.740517,http://energy.gov/eere/buildings/downloads/user-oriented-modeling-tools-advanced-hybrid-and-climate-appropriate,"The University of California, Davis, will have undergraduate students work with industry partners to develop and validate a new solution to model rooftop air conditioners. This model could produce climate-specific advantages in comfort and efficiency.",Funding Opportunity,Inactive
Emerging Technologies,,Lawrence Berkeley National Laboratory,US-India Centre for Building Energy Research and Development (CBERD),Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/us-india-centre-building-energy-research-and-development-cberd,"The Lawrence Berkeley National Laboratory works with international and U.S. partners to develop and test building materials that can help promote mixed mode operations, reduce cooling and heating demand in Indian and US buildings, and re-optimize existing cooling and dehumidification system approaches for India’s commercial/multi-family new construction market. The U.S.-India Joint Center for Building Energy Research and Development (CBERD) focuses on reducing both countries’ energy consumption through projects and development in the buildings sector.",Lab Award,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,National Renewable Energy Laboratory,Using Small Business Administration Financing for Energy Efficiency Upgrades,Golden,CO,39.755543,-105.2211,http://www.energy.gov/eere/buildings/downloads/using-small-business-administration-financing-energy-efficiency-upgrades,This project is deploying Small Business Administration  (SBA) resources developed by the National Renewable Energy Laboratory. This work seeks to increase the number of SBA-originated loans for energy efficiency projects by deploying dedicated resources for borrowers and lenders through SBA’s strategic deployment partners.,Lab Award,Inactive
Emerging Technologies,R&D - Window & Building Envelope,National Renewable Energy Laboratory,Vacuum Insulation for Windows,Golden,CO,39.755543,-105.2211,http://energy.gov/eere/buildings/downloads/vacuum-insulation-windows,The National Renewable Energy Laboratory will develop high-performing vacuum insulation for use on installed windows. This technology could offer an alternative to replacing existing windows with highly insulting windows and save 2 - 3 quads of energy annually.,Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,"Steven Winter Associates, Inc.",Ventilation Integrated Comfort System,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/ventilation-integrated-comfort-system-vics#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D44,"Steven Winter Associates will work with manufacturing partner Mitsubishi Electric to develop, test, and demonstrate an integrated energy recovery ventilation and heat pump system for residential buildings.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Lawrence Berkeley National Laboratory,Virtual Sensing,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/virtual-sensing,"Virtual or inferential sensing can provide a lower cost and less invasive proxy for monitoring building performance and operation compared to physical sensing techniques.  As part of a multi-lab effort, Lawrence Berkeley National Laboratory will extract virtual sensing data from field studies, develop algorithms utilizing this data, and partner with manufacturers to incorporate results into Wi-Fi management systems.",Lab Award,Inactive
Emerging Technologies,R&D - Sensors & Controls,Drexel University,VOLTTRON Compatible Whole-Building Root-Fault Detection and Diagnosis,Philadelphia,PA,39.952584,-75.165222,http://energy.gov/eere/buildings/downloads/volttron-compatible-whole-building-root-fault-detection-and-diagnosis,"Drexel University will develop an innovative and cost-effective automated fault detection and diagnostics tool that better identifies issues related to building energy use. This project is expected to impact a total energy market of 7,306 TBTU, with projected national energy savings of 1,096 TBTU with a simple payback time per installation of less than 1 year.",Funding Opportunity,Inactive
Emerging Technologies,Technology & Systems Validation,Pacific Northwest National Laboratory,VOLTTRON Technology to Market,Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/volttron,"VOLTTRON™ is an open-source, secure, extensible, and modular technology that supports a wide range of applications, such as managing end-use loads, increasing building efficiency, integration of distributed variable renewable energy, accessing storage, or improving electric vehicle charging.",ET/CBI Lab Call,Inactive
Emerging Technologies,R&D - Sensors & Controls,SLAC National Accelerator Laboratory,VOLTTRON Testing Tool Kit (VTTK),Menlo Park,CA,37.45296,-122.181725,https://energy.gov/eere/buildings/downloads/volttron-testing-tool-kit,"SLAC is working with partners Kisensum and Pacific Northwest National Laboratory to develop a VOLTTRON Testing Took kit that will enhance the VOLTTRON Open Source platform that is currently under development by adding testing tools.  This makes VOLTTRON more accessible and available to small and medium facility owners by allowing for quick analysis of the potential of behind-the-meter storage, integration of renewables and responsiveness to the wholesale energy process.",Funding Opportunity,Inactive
Building Energy Codes,,Appalachian Residential Consortium for Energy Efficiency,West Virginia Residential Energy Code Field Study,Huntington,WV,38.41925,-82.445154,http://www.energy.gov/eere/buildings/downloads/west-virginia-residential-energy-code-field-study,"This project will measure the baseline residential energy code compliance rate for West Virginia. This will help enable the necessary business case to influence investments in code compliance education programs, which could lead to substantial energy savings.",Direct Funded,Inactive
Residential Buildings Integration,Energy Data & Design/Decision Tools,U.S. Department of Energy,Home Energy Score,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/home-energy-score,"The Home Energy Score helps homeowners and homebuyers understand how much energy a home is expected to use and provides suggestions for improving its energy efficiency. The Home Energy Score includes: 1) the Score itself, 2) facts about the home including data collected and energy use breakdown, and 3) recommendations to improve the Score and the energy efficiency of the home.",Lab Award,Active
Appliance Standards Program,,U.S. Department of Energy,Appliances and Equipment Standards,Washington,DC,38.907192,-77.036871,http://energy.gov/eere/buildings/appliance-and-equipment-standards-program,"The Building Technologies Office implements minimum energy conservation standards for more than 60 categories of appliances and equipment. Products covered by standards represent about 90% of home energy use, 60% of commercial building use, and nearly 30% of industrial energy use.",Lab Award,Active
Residential Buildings Integration,Technology & Systems Validation,U.S. Department of Energy,Building America Program,Washington,DC,38.907192,-77.036871,http://energy.gov/eere/buildings/downloads/building-america-program,"The Building America program invests in research, development, and demonstration activities to pave the way for zero energy ready homes and help solve our industry’s biggest challenges, in both new construction and existing home renovations. By 2025, Building America’s work will help reduce the energy used for space conditioning and water heating in single-family homes by 40% from 2010 levels.",Direct Funded,Active
Commercial Buildings Integration,,National Institute of Building Sciences,Better Buildings Workforce Guidelines,Washington,DC,38.907192,-77.036871,,,Lab Award,Inactive
Emerging Technologies,R&D - Building Energy Modeling,National Renewable Energy Laboratory,EnergyPlus Hysteresis PCM Model,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/energyplus-hysteresis-pcm-model,"NRGsim Inc., an advanced energy system modeling and software development company in Portland, OR, has built a prototypical model that could allow DOE’s flagship simulation tool, EnergyPlus, to more accurately simulate the thermal impacts of phase change materials (PCMs) in building envelopes.With guidance from the National Renewable Energy Laboratory (NREL), NRGsim will complete model documentation, develop and perform tests, complete the model feature set—translating measured data into the model, capturing hysteresis effects, and handling sub-cooling effects—and integrate the code into EnergyPlus for deployment.",Small Business Vouchers Pilot,Inactive
