Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise Description,Funding Type,Status
Emerging Technologies,R&D - Advanced Lighting,North Carolina State University,Low Cost Corrugated Substrates for High Efficiency OLEDs,Raleigh,NC,35.77959,-78.638179,http://energy.gov/eere/buildings/downloads/low-cost-corrugated-substrates-high-efficiency-oleds,"North Carolina State University will develop OLEDs fabricated on low-cost high index corrugated substrates with a semi-random periodicity to give enhancements in extraction efficiency across the entire visible spectrum, due to the extraction of the thin-film-guided and surface-plasmon modes.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Xergy,Low Cost Electrochemical Compressors Utilizing Green Refrigerants for HVAC Applications,Seaford,DE,38.641226,-75.611038,http://energy.gov/eere/buildings/downloads/low-cost-electrochemical-compressor-utilizing-green-refrigerants-hvac,Xergy will develop electrochemical compression technology in combination with an energy recovery module to replace a solid-state compressor for use in heat pumps. This technology will enable heat pumps to use water as the refrigerant and could lead to efficiency improvements of 30% - 56%.,Funding Opportunity,Active
Emerging Technologies,R&D - Window & Building Envelope,Heliotrope Technologies,Low Cost Nanostructured Smart Window Coatings,Oakland,CA,37.804364,-122.271114,http://energy.gov/eere/buildings/downloads/low-cost-nanostructured-smart-window-coatings,"Heliotrope Technologies will develop a low-cost, smart, insulating glass unit that dynamically optimizes solar gain without affecting natural light. The use of these advanced windows is estimated to reduce overall energy use in a building by 30%.",Small Business Innovation Research,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Stone Mountain Technologies,Low-Cost Gas Heat Pump For Building Space Heating,Erwin,TN,36.145108,-82.416806,http://energy.gov/eere/buildings/downloads/low-cost-gas-heat-pump-building-space-heating,Stone Mountain Technologies will build and test a low-cost gas heat pump that is optimized for heating-dominated climates. The technology will reduce heating costs by 30% - 45% compared to conventional gas furnaces and boilers.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Oak Ridge National Laboratory,Low-Cost Haziness-Free Transparent Insulation Based on Hierarchical Porous Silica Particles,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/low-cost-haziness-free-transparent-insulation-based-porous-silica-material,Oak Ridge National Laboratory will develop and demonstrate a novel insulation material that will be used to improve the thermal insulation of windows. Adoption of this technology would lead to significant energy savings in buildings.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Oak Ridge National Laboratory,Low-Cost Wireless Sensors for Building Monitoring Applications,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/low-cost-wireless-sensors-building-applications,"The Oak Ridge National Laboratory will partner with Molex to demonstrate and manufacture commercially viable, low-power and multi-functional wireless  platforms for building monitoring utilizing advances in materials technology, low-cost printing techniques, and co-integration of monitoring, control, and communication circuitry. This technology, if widely deployed, will contribute to reducing building energy consumption by an estimated 20%- 30% due to advancements in sensing and control systems (TIAX 2005).",Lab Award,Active
Emerging Technologies,R&D - Advanced Lighting,"VoltServer, Inc.","Low-Cost, High Efficiency Integration of SSL and Building Controls using a PET Power Distribution System",East Greenwich,RI,41.634262,-71.513044,http://energy.gov/eere/buildings/downloads/low-cost-high-efficiency-integration-ssl-and-building-controls-using-pet,"VoltServer, Inc. will reduce the cost of solid-state lighting (SSL) ownership by at least 35% by reducing installation cost, energy use, and lamp replacement. These improvements could drive increased adoption of SSL, which has tremendous energy-saving potential.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Sensors & Controls,Dioxide Materials,"Low-Cost, High-Accuracy, Whole-Building Carbon Dioxide Monitoring for Demand Control Ventilation",Boca Raton,FL,26.368306,-80.128932,http://energy.gov/eere/buildings/downloads/low-cost-high-accuracy-whole-building-carbon-dioxide-monitoring-demand,"Dioxide Materials will develop a technology for low-cost, high-accuracy whole-building carbon dioxide monitoring for demand control ventilation.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Window & Building Envelope,"ITN Energy Systems, Inc.","Low-Cost, Highly Transparent Flexible Low-e Coating Film to Enable Electrochromic Windows with Increased Energy Savings",Littleton,CO,39.613321,-105.01665,http://energy.gov/eere/buildings/downloads/low-cost-highly-transparent-flexible-low-emission-coating-film-enable,"ITN Energy Systems will develop a low-cost coating film for use on existing ""smart"" windows. This film will further advance the energy savings potential and appearance of these windows and could result in approximately 2 quads of energy savings annually.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances","Mechanical Solutions, Inc.",Low-GWP HVAC System with Ultra-Small Centrifugal Compression,Whippany,NJ,40.825406,-74.402236,http://energy.gov/eere/buildings/downloads/low-global-warming-potential-hvac-system-ultra-small-centrifugal,"Mechanical Solutions, Inc. will develop a residential HVAC system featuring a highly efficient small centrifugal compressor. This project could provide a cheaper, more efficient, more environmentally friendly HVAC option for residential and commercial buildings.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,InnoSys Inc.,Lowering Barriers to Intelligent SSL Adoption through a Combination of a Next Generation Installation/Configuration Software Platform and a Novel Luminaire,Salt Lake City,UT,40.760779,-111.891047,http://www.energy.gov/eere/buildings/downloads/lowering-barriers-intelligent-ssl-adoption-through-combination-next,"InnoSys Inc. (Salt Lake City, UT)ÿwill develop a next-generation installation/configuration software platform and a novel luminaire in order to lower barriers to the adoption of intelligent SSL devices.",Small Business Innovation Research,Inactive
Building Energy Codes,,Ecotope,Low-Rise Multifamily Field Study,Seattle,WA,47.60621,-122.332071,http://energy.gov/eere/buildings/downloads/low-rise-multifamily-field-study,"Ecotope, Inc. will conduct energy code field studies in Washington, Oregon, Minnesota, and Illinois to measure the impact of energy codes on multifamily buildings, and identify opportunities for savings through increased compliance.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,RTI International,Luminaires for Advanced Lighting in Education,Research Triangle Park,NC,35.899168,-78.86364,http://energy.gov/eere/buildings/downloads/luminaires-advanced-lighting-education,"RTI International will develop and demonstrate novel luminaire designs that utilize advanced classroom lighting system technology, demonstrate the benefits of dynamic lighting, and collect feedback from education stakeholders. These efforts could increase the use of next-generation lighting in schools.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Novel Solid State Magnetocaloric Air Conditioner,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/novel-solid-state-magnetocaloric-air-conditioner,Oak Ridge National Laboratory will develop a novel magnetocaloric air conditioner with the potential for efficiency improvements of up to 25% over conventional vapor compression systems. This new technology could save the U.S. 1 quad annually.,Funding Opportunity,Active
Emerging Technologies,R&D - Window & Building Envelope,National Renewable Energy Laboratory,Manufacturing Competitiveness and Supply Chain Analysis,Golden,CO,39.755543,-105.2211,http://www.energy.gov/eere/buildings/downloads/manufacturing-competitiveness-and-supply-chain-analysis,The National Renewable Energy Laboratory will develop metrics to enable better comparisons of the global competitiveness of technologies across stages of development. These analyses will give decision-makers the data and insights needed to create strategies and plans that better promote U.S. economic growth and manufacturing in the transition to the clean energy economy.,Lab Award,Active
