Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Total_Government_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Transformational Approach to Reducing the Total System Costs of Building Integrated Photovoltaics,Dow Chemical,EE0005434,Systems Integration,node/791071,Funding Opportunity,Extreme Balance of System Hardware Cost Reduction,Bos-X,Inactive,2011,"$3,286,892 ",Midland,MI,48674-1776,node/1074216,43.612956,-84.195927,Leo Lopez,The objective of this program is to develop new methods to integrate photovoltaic (PV) cells within a building integrated photovoltaic (BIPV) application that will result in a breakthrough low installed cost and increased power supply to the residential consumer.
High Performance Perovskite-Based Solar Cells,Duke University,EE0006712,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 3,NextGen 3,Active,2014,"$1,300,002 ",Duraham,NC,27708,node/973816,35.994033,-78.898619,David Mitzi,"This project supports the development of lead-halide-based perovskites in order to make these devices more suitable for commercialization. Researchers are optimizing the device efficiency at the cell level in order for the promise of an ultra-low-cost technology to be realized, pursuing a lead replacement, and improving the stability of the materials and devices towards moisture, air, and temperature."
sCO<sub>2</sub> Power Cycle with Integrated Thermochemical Energy Storage,Echogen Power Systems,EE0008126,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,2017,"$1,000,000 ",Akron,OH,44308-1044,node/3028961,41.080215,-81.519869,Timothy Held,"Echogen and Southern Research will design, model and test a novel integrated supercritical carbon dioxide (sCO2) power cycle and thermochemical energy storage system for concentrating solar power. The system will use CO2 both as a power cycle working fluid and as a reactant in the thermochemical energy storage reactor. The team will design, build and test a prototype-scale sCO2 power cycle and reactor to validate the design and performance of the system."
"Local Energy Matters: Solar Market Development in Duluth, Minnesota",Ecolibrium3,EE0006908,Soft Costs,node/791371,Funding Opportunity,Solar Market Pathways,Solar Market Pathways,Inactive,2014,"$209,005 ",Duluth,MN,55806,node/1398646,46.761925,-92.131325,Jodi Slick,"This project is working with state and local stakeholders to develop residential rooftop, community, and commercial solar projects, further developing the local market in Duluth. The project focuses on reducing soft costs through the development of simplified processes for permitting and interconnection. Over three years, one megawatt of capacity will be installed with a cost reduction goal of 50 percent."
Predictive Solar-Integrated Commercial Building Load Control,Edgepower,EE0007180,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,2015,"$495,248 ",Aspen,CO,81612-1996,node/1382331,37.916133,-122.310765,Karl Swanson,"EdgePower is creating hardware and software to integrate the controllable HVAC and lighting loads of a building with forecast and solar PV production, thereby better matching PV supply with building demand and reducing peak demand at the utility meter. This project will combine site-based solar forecast data from Clean Power Research with forecast and real time net load data on a single commercial building test site. The project will quantify the utility savings of using load control to smooth the commercial PV customer's net load profile, and also highlight the potential value of integrating forecasting and load control technologies with battery storage."
Beneficial Integration of Energy Storage and Load Management with Photovoltaics,Electric Power Research Institute,EE0007163,Systems Integration,node/791071,Funding Opportunity,Sustainable and Holistic Integration of Energy Storage and Solar PV,SHINES,Active,2015,"$3,124,685 ",Knoxville,TN,37932-3723,node/1541036,35.91774,-84.21734,Aminul Huque,"This project is working with five utilities to design, develop, and validate technology for end-to-end grid integration of energy storage and load management with photovoltaic generation. The technology is a simple, two-level, and optimized control architecture. Its effectiveness will be verified at three field locations."
Leveraging Industry Research to Educate A Future Electric Grid Workforce,Electric Power Research Institute,EE0006338,Soft Costs,node/791371,Funding Opportunity,Grid Engineering for Accelerated Renewable Energy Deployment,GEARED,Active,2013,"$4,200,001 ",Palo Alto,CA,94301-1000,node/791036,37.445797,-122.157575,Thomas Reddoch,"In 2013, the Electric Power Research Institute collaborated with four universities and 17 utilities and system operators to establish the GridEd Distributed Technology Training Consortium in the eastern United States. This consortium aims to effectively combine utility and industry research with educational expertise in power engineering. The project team is empowering new and continuing education students to become not only competent and well informed engineers, but also influence major technological, social, and policy decisions that address critical global energy challenges. This project received additional funding under the Solar Training and Education for Professionals program in 2016, which allowed it to establish a new consortia in the western United States. The Center for Grid Engineering Education in the West leverages the existing structure,"
Leveraging Industry Research to Educate a Future Electric Grid Workforce in the Western U.S.,Electric Power Research Institute,EE0007328,Soft Costs,node/791371,Funding Opportunity,Solar Training and Education for Professionals,STEP,Active,2016,"$1,000,000 ",Knoxville,TN,37932-3723,node/1712861,35.960638,-83.920739,Thomas Reddoch,"The Electric Power Research Institute (EPRI) along with university, utility, and electric industry partners establishes a Distributed Technology Training Consortium (DTTC) in the western United States. This new consortium, GridEd-West (The Center for Grid Engineering Education in the West), leverages the existing structure, knowledge, and successes from the EPRI-led GridEd-East team &#150; a consortium established as a DTTC for the purpose of fulfilling the original objectives of the Grid Engineering for Accelerated Renewable Energy Deployment (GEARED) program, which over the past two years has trained more than 4,500 students and professionals across the United States in power systems engineering."
Novel Accelerated Aging Protocols for Photovoltaic Modules,Electric Power Research Institute,EE0007137,Photovoltaics,node/790881,Funding Opportunity,Physics of Reliability: Evaluating Design Insights for Component Technologies in Solar 2,PREDICTS 2,Active,2015,"$1,042,496 ",Palo Alto,CA,94301-1000,node/1364576,37.381344,-122.180281,Cara Libby,This project is advancing the state of the art of module certification and degradation certainty. The project is also advancing the knowledge base of on-site plant monitoring and proactive maintenance in order to maximize energy production and profitability of photovoltaic power plants.
Operational Simulation Tools and Long Term Strategic Planning For High Penetrations of PV in the Southeastern U.S.,Electric Power Research Institute,EE0006326,Systems Integration,node/791071,Funding Opportunity,Solar Utility Networks: Replicable Innovations in Solar Energy,SUNRISE,Inactive,2013,"$898,347 ",Palo Alto,CA,94301-1000,node/1068486,37.445797,-122.157575,Aidan Tuohy,"The goal of this project is to develop high-penetration solar future scenarios in the southeastern U.S., distribution grid-feeder clustering and characterization, models for solar generation hosting capacity, and power production simulation. EPRI will work in collaboration with the Tennessee Valley Authority Southern Company, the Sacramento Municipal Utility District, the California Independent System Operator, and other partners. These tools, processes, and studies will be used to assess the full breadth of operational and business impacts posed by high levels of solar generation and to formulate associated strategic plans for the southeastern U.S. that ensure both system reliability and utility financial health. This project will result in an end-to-end strategy and operations project that leverages prior efforts, including DOE-funded projects, and provides a pathway for successfully integrating large amounts of solar generation. This project will further disseminate analytical results, operational tools, and strategic planning processes to allow for replication that advances PV integration beyond simply the traditional ""sunny"" regions."
